atraso,aluno_id,falta,criado_em,primeira_metade
atrasado,140,TRUE,2024-04-12 22:01:01.764798,FALSE
atrasado,141,TRUE,2024-04-12 22:01:01.766923,FALSE
atrasado,142,TRUE,2024-04-12 22:01:01.769006,FALSE
atrasado,143,TRUE,2024-04-12 22:01:01.771165,FALSE
atrasado,144,TRUE,2024-04-12 22:01:01.773739,FALSE
atrasado,145,TRUE,2024-04-12 22:01:01.776639,FALSE
atrasado,146,TRUE,2024-04-12 22:01:01.778879,FALSE
atrasado,147,TRUE,2024-04-12 22:01:01.781175,FALSE
atrasado,148,TRUE,2024-04-12 22:01:01.783531,FALSE
atrasado,149,TRUE,2024-04-12 22:01:01.785905,FALSE
atrasado,150,TRUE,2024-04-12 22:01:01.788243,FALSE
atrasado,151,TRUE,2024-04-12 22:01:01.791014,FALSE
atrasado,152,TRUE,2024-04-12 22:01:01.793387,FALSE
atrasado,153,TRUE,2024-04-12 22:01:01.800489,FALSE
atrasado,154,TRUE,2024-04-12 22:01:01.802368,FALSE
atrasado,155,TRUE,2024-04-12 22:01:01.804205,FALSE
atrasado,156,TRUE,2024-04-12 22:01:01.806005,FALSE
atrasado,157,TRUE,2024-04-12 22:01:01.807830,FALSE
atrasado,158,TRUE,2024-04-12 22:01:01.809619,FALSE
atrasado,159,TRUE,2024-04-12 22:01:01.811814,FALSE
atrasado,160,TRUE,2024-04-12 22:01:01.813437,FALSE
atrasado,161,TRUE,2024-04-12 22:01:01.814961,FALSE
atrasado,162,TRUE,2024-04-12 22:01:01.816638,FALSE
atrasado,163,TRUE,2024-04-12 22:01:01.818744,FALSE
atrasado,164,TRUE,2024-04-12 22:01:01.821122,FALSE
atrasado,165,TRUE,2024-04-12 22:01:01.822956,FALSE
atrasado,166,TRUE,2024-04-12 22:01:01.824704,FALSE
atrasado,167,TRUE,2024-04-12 22:01:01.826501,FALSE
atrasado,168,TRUE,2024-04-12 22:01:01.828499,FALSE
atrasado,169,TRUE,2024-04-12 22:01:01.830172,FALSE
atrasado,170,TRUE,2024-04-12 22:01:01.831788,FALSE
atrasado,171,TRUE,2024-04-12 22:01:01.833576,FALSE
atrasado,172,TRUE,2024-04-12 22:01:01.835757,FALSE
